Sanskrit Word,Transliteration,Meaning,Page Number
उन्मिषन्‌,unmishhan.h,opening,38
उन्मीलित,unmiilita,opened,38
उन्मूलयति,unmuulayati,to pull out or  uproot,38
उप,upa,near,38
उपज्ञशं,upa+shaM,to extinguish,38
उपकरण,upakaraNa,means,38
उपकल्पना,upakalpanaa, hypothesis,38
उपकार,upakaara,benefit,38
उपकारक,upakaaraka,beneficial,38
उपकृ,upakRi,to do a favour,38
उपक्रमः,upakramaH, project or undertaking,38
उपग्रहः,upagrahaH,satellite or spacecraft,38
उपचय,upachaya,Houses of earning ,38
उपचारिका,upachaarikaa,nurse,38
उपजुहति,upajuhvati,offer,39
उपदानं,upadaanaM, gratuity,39
उपदेश,upadesha,advice,39
उपदेशः,upadeshaH,advice,39
उपदेशयति,upadeshayati,giving advice,39
उपदेक्ष्यन्ति,upadekShyanti,they will initiate,39
उपद्रष्टा,upadrashhTaa,overseer,39
उपधानम्‌,upadhaanam.h,pillow,39
उपधारय,upadhaaraya,know,39
उपनगरम्‌,upanagaram.h, suburb,39
उपनाम,upanaama,alias,39
उपनिषत्‌,upanishhat.h,says the upanishat h,39
उपनिषद्‌,upanishhad.h,the philosophical parts of the Vedas,39
उपनेत्रम्‌,upanetram.h,spectacles or glasses,39
उपन्यासकः,upanyaasakaH,lecturer,39
उपपत्तिषु,upapattishhu,having obtained,39
उपपद,upapada,The sign which is as apart from the 12th lord as the latter is from the 12th,39
उपपद्यते,upapadyate,is befitting,39
उपपन्नं,upapannaM,arrived at,39
उपबन्धः,upabandhaH, provision,39
उपभोग,upabhoga,consumption,39
उपमं,upamaM,compared to,39
उपमा,upamaa,comparative,39
उपयान्ति,upayaanti,come,39
उपयुज्‌,upayuj.h,use,39
उपयोग,upayoga,use,39
उपरतं,uparataM,ceased,39
उपरन्जितैः,uparanjitaiH,splendid or resplendant,39
उपरमते,uparamate,cease or because one feels transcendental happiness,39
उपरमेत्‌,uparamet.h,one should hold back,39
उपरि,upari, above,39
उपलभ्यते,upalabhyate,can be perceived,39
उपलिप्यते,upalipyate,mixes,39
उपवस्तु,upavastu, by-product,39
उपविधिः,upavidhiH, by-law,39
उपविशत्‌,upavishat.h,sat down again,39
उपविशति,upavishati,to sit,39
उपविश्य,upavishya,sitting,39
उपविष्ठ,upavishhTha,seated,39
उपसङ्गम्य,upasa.ngamya,approaching,40
उपसग,upasarga,Prefix,40
उपस,upasRi, go near,40
उपसेवते,upasevate,enjoys,40
उपस्था,upasthaa,to stand near or  to stand by,40
उपस्थे,upasthe,on the seat,40
उपस्नेहः,upasnehaH, lubricant,40
उपहूत,upahata,overpowered,40
उपहन्यां,upahanyaaM,would destroy,40
उपहारः,upahaaraH, gift,40
उपात्त,upaatta,obtained,40
उपाधिः,upaadhiH,title,40
उपाय,upaaya,means,40
उपायतः,upaayataH,by appropriate means,40
उपाजन,upaarjana,earning  or acquiring,40
उपाभि,upaashri,to take shelter in,40
उपाभिताः,upaashritaaH,being fully situated,40
उपाभित्य,upaashritya,taking shelter of,40
उपासते,upaasate,worship,40
उपाहारगृह,upaahaaragRiha,restaurant,40
उपाहारगृहम्‌,upaahaaragRiham.h, restaurant,40
उपेतः,upetaH,haaving reached or attained,40
उपेत्य,upetya,achieving,40
उपेक्षा,upekShaa,disregard,40
उपे,upai,to go to,40
उपेति,upaiti,gets,40
उपेष्यसि,upaishhyasi,you will attain,40
उप्कारः,upkaaraH,cess,40
उभय,ubhaya,both,40
उभयत्र,ubhayatra,at both places,40
उभयोः,ubhayoH,both,40
उभे,ubhe,both,40
उभौ,ubhau,both,40
उमा,umaa,pArvatl,40
उरगान्‌,uragaan.h,serpents,40
उरस्थल,urasthala,place on the chest,40
उरुक,uruka,pant,40
उजिंतं,urjitaM,glorious,40
उवाँरूक,urvaarukaM,water melon  or melon,40
उलूकः,uluukaH, owl,40
उल्बेन,ulbena,by the womb,41
उल्लः,ullaH,to shine,41
उल्लसितं,ullasitaM,shining,41
उल्लोल,ullola,a large wave,41
उवाच,uvaacha,said,41
उशना,ushanaa,Usana,41
उषित्वा,ushhitvaa,after dwelling,41
उष्ट्‌,ushhTra,a camel,41
उष्ट्रपक्षी,ushhTrapakShii,ostrich,41
उष्टासन,ushhTraasana,the camel posture,41
उष्ण,ushhNa,summer,41
उष्णरक्षकम्‌,ushhNarakShakam.h, thermos flask,41
उष्णीषम्‌,ushhNiishham.h,turban,41
उष्मपाः,ushhmapaaH,the forefathers,41
ऊच्छबल,uuchchhabala,Exaltation strength part of Shad Bala,41
ऊयते,uuyate,to weave,41
ऊरू,uuruu,thighs,41
ऊरूः,uuruuH, thigh,41
ऊजां,uurjaa, energy,41
ऊर्णनाभः,uurNanaabhaH,spider,41
ऊर्ध्व॑प्रसारितएकपादासन,uurdhvaprasaaritaekapaadaasana,balancing forward posture,41
ऊध्वेहुस्तत्तनासन,uurdhvahastattanaasana,the up-stretched arms posture,41
ऊष्वैमूलं,uurdhvamuulaM,with roots above,41
ऊमि,uurmi,wave,41
ऋक्‌,Rik.h,the Rg Veda,41
ऋचः,RichaH,the Rig Veda,41
ऋच्छति,Richchhati,one attains,41
ऋजुः,RijuH, straight,41
ऋण,RiNa,debt,41
ऋणपत्रं,RiNapatraM,debenture,41
ऋतं,RitaM,truth,41
ऋतु,Ritu,season,41
ऋतूनां,RituunaaM,of all seasons,41
ऋद्ध,RiddhaM,prosperous,41
ऋद्धम्‌,Riddham.h,enriched,42
ऋषयः,RishhayaH,those who are active within,42
ऋषिः,RishhiH,the sage,42
ऋषिन्‌,Rishhin.h,great sages,42
ऋषिभिः,RishhibhiH,by the wise sages,42
एक,eka,one,42
एकः,ekaH,one,42
एकत्वं,ekatvaM,in oneness,42
एकत्वेन,ekatvena,in oneness,42
एकदंतं,ekada.ntaM,one who has a single tusk,42
एकदंताय,ekada.ntaaya,to the one-tusked,42
एकमक्षरं,ekamakSharaM,pranava,42
एकमेवाद्वितीयं,ekamevaadvitiiyaM,one without a second,42
एकया,ekayaa,by one,42
एकवचनं,ekavachanaM,singular,42
एकस्थं,ekasthaM,in one place,42
एकस्मिन्‌,ekasmin.h,in one,42
एकाः,ekaaH,one,42
एकाकिनि,ekaakini,solitary woman,42
एकाकी,ekaakii,alone,42
एकाग्र,ekaagra,one-pointed,42
एकाग्रं,ekaagraM,with one attention,42
एकाग्रेण,ekaagreNa,with full attention,42
एकान्तं,ekaantaM,overly,42
एकाक्षर,ekaakSharaM,the one syllable,42
एके,eke,in one,42
एकेन,ekena,alone,42
एकैकमक्षरं,ekaikamakSharaM,each and every word,42
एकोऽहं,eko.ahaM,I the one single being,42
एतत्‌,etat.h,it,42
एतन्‌,etan.h,this,42
एतयोः,etayoH,of these two,42
एतस्य,etasya,of this,42
एतां,etaaM,this,42
एतान्‌,etaan.h,all these,42
एतानि,etaani,all these,42
एतावत्‌,etaavat.h,this much,42
एति,eti,attains,42
एते,ete,they,42
एतेन,etena,by this,42
एतेषां,eteshhaaM,of the Pandavas,43
एधते,edhate, to grow,43
एधांसि,edhaa.nsi,firewood,43
एनं,enaM,this,43
एभिः,ebhiH,by them,43
एभ्यः,ebhyaH,to these demigods,43
एव,eva,used to put emphasis ,43
एवं,evaM,thus,43
एवंविधः,eva.nvidhaH,like this,43
एवंविधाः,eva.nvidhaaH,like this,43
एवापि,evaapi,also,43
एषः,eshhaH,this,43
एषा,eshhaa,this,43
एषां,eshhaaM,of them,43
एष्यति,eshhyati,comes,43
एष्यसि,eshhyasi,you will attain,43
एकान्तिकस्य,aikaantikasya,ultimate,43
एेक्य,aikya,unity,43
एच्छत्‌,aichchhat.h,desired,43
एेरावतं,airaavataM,Airavata,43
ओङ्करासन,o.nkaraasana,the OM posture,43
ओजस,ojasa,concentrated psychic power,43
ओजसा,ojasaa,by My energy,43
ओषति,oshhati,to burn,43
ओद्योगिक,audyogika,industrial,43
ओपम्येन,aupamyena,by comparison,43
ओशध,aushadha,medicine,43
ओषध,aushhadha,medicine,43
ओषधं,aushhadhaM,medicine,43
ओषधम्‌,aushhadham.h, medicine,43
ओषधसूची,aushhadhasuuchii,syringe or injection,43
ओषधिवन,aushhadhivana,medicinal garden,43
ओषधीः,aushhadhiiH,vegetables,43
कं,kaM,whom,43
ककन,ka.nkana,bracelet,43
केच्न,ka.nchna,anyone or someone,43
कटः,ka.nTaH,throat,43
कठं,ka.nThaM,neck,43
कंठे,ka.nThe,in yhe neck,43
कथा,ka.nthaa,rags,44
कस्य,ka.nsya,bronze,44
कः,kaH,who,44
ककुदि,kakudi,hump of an ox,44
कच्चित्‌,kachchit.h,whether,44
कच्छप,kachchhapa, tortoise,44
कज्जल,kajjala,lamp black,44
कञ्चुकः,kaJNchukaH,blouse,44
कटः,kaTaH,carpet,44
कटाक्ष,kaTaakSha,glance,44
कटि,kaTi,hip,44
कटिः,kaTiH,waist,44
कटिकासन,kaTikaasana,the front-stretching posture,44
कटिवस्त्रम्‌,kaTivastram.h, underwear,44
कटी,kaTii,waist,44
कठिन,kaThina,tough,44
कण,kaNa,small bit,44
कणत्व,kaNatva,particularity,44
कणिकापीता,kaNikaapiitaa,a little droplet or drunk,44
कणीय,kaNiiya,particulate,44
कण्टकम्‌,kaNTakam.h, thorns,44
कण्ठ,kaNTha,throat,44
कण्ठः,kaNThaH, throat or  neck,44
कण्ठभूषा,kaNThabhuushhaa,necklace,44
कण्ठहारः,kaNThahaaraH,necklace,44
कण्डोलः,kaNDolaH,a wooden basket,44
कतिपय,katipaya,Some,44
कथ्‌,kath.h,to tell,44
कथं,kathaM,tell,44
कथन्त,kathanta,howness,44
कथय,kathaya,describe,44
कथयतः,kathayataH,speaking,44
कथयति,kathayati,to narrate or  to tell,44
कथयते,kathayate,to narrate or to tell,44
कथयन्तः,kathayantaH,talking,44
कथयिष्यन्ति,kathayishhyanti,will speak,44
कथयिष्यामि,kathayishhyaami,I shall speak,44
कथा,kathaa,story,44
कथामृत,kathaamRita,Gospel,44
कथामृतं,kathaamRitaM,Gospel,44
कथित,kathita,told,45
कदलिफलम्‌,kadaliphalam.h,banana,45
कदली,kadalii,banana,45
कदलीतैलं,kadaliitailaM,banana oil,45
कदा,kadaa,when,45
कदाचन्‌,kadaachan.h,never,45
कदाचन,kadaachana,at any time,45
कदाचित्‌,kadaachit.h,at any time past or present or future,45
कदापि,kadaapi,at any time,45
कनक,kanaka,gold,45
कनीनिका,kaniinikaa,eyeball,45
कन्ट,kanTha,throat,45
कन्थः,kanthaH,throated man,45
कन्द,kanda,a knot or  the place where the three main nadis join,45
कन्दः,kandaH, root,45
कन्दप॑ः,kandarpaH,Cupid,45
कन्दासन,kandaasana,the upward ankle-twist posture,45
कन्दुक,kanduka,a ball,45
कन्या,kanyaa,Zodiacal sign Virgo,45
कपटयोगः,kapaTayogaH, intrigue,45
कपटिक,kapaTika,"cunning, scheming",45
कपतं,kapataM, plot or  conspiracy,45
कपाल,kapaala,forehead,45
कपालः,kapaalaH, human skull,45
कपालभति,kapaalabhati,a process to clear the sinuses,45
कपाल्नल,kapaalnala,fire in the forehead or again perhaps wrong,45
कपि,kapi,monkey,45
कपिः,kapiH,monkey,45
कपिध्वजः,kapidhvajaH,he whose flag was marked with Hanuman,45
कपोत,kapota,pigeon or dove,45
कपोतासन,kapotaasana,the dove posture,45
कपोलः,kapolaH,cheek,45
कबंधी,kaba.ndhii,build,45
कमनीयकरं,kamaniiyakaraM,desired hands,45
कमल,kamala,Lotus,45
कमलपत्र,kamalapatra,Lotus leaf,45
कमलपत्राक्ष,kamalapatraakSha,O lotus-eyed one,45
कमला,kamalaa,saraswati,45
कमलासनस्थं,kamalaasanasthaM,sitting on the lotus flower,45
कम्पते,kampate, to shake,45
कम्पयति,kampayati,to shake,45
कर,kara,Hand,45
कर,karaM,the cause of,45
करः,karaH, tax,46
करणं,karaNaM,the means,46
करणाय,karaNaaya,to do,46
करणीयं,karaNiiyaM,to be done,46
करतलभिक्षा,karatalabhikShaa,alms in the palms,46
करतलम्‌,karatalam.h, palm,46
करदीपः,karadiipaH, torch or flashlight,46
करभोरु,karabhoru,fair-limbed,46
करलं,karalaM,terrible,46
करवाल,karavaala,sword,46
करवावहै,karavaavahai,may we do,46
करस्थाः,karasthaaH,obtaining or literally standing  in his very hands,46
करांशुकम्‌,karaa.nshukam.h, full-sleeved shirt,46
कराल,karaala,dreadful,46
करालं,karaalaM,horrible,46
करालानि,karaalaani,terrible,46
करियादः,kariyaadaH,hippopotamus,46
करिष्यति,karishhyati,can do,46
करिष्यसि,karishhyasi,perform,46
करिष्ये,karishhye,I shall execute,46
करुणः,karuNaH,kindly,46
करुणा,karuNaa,the sentiment of sorrow,46
करुणाकर,karuNaakara.n,the one induces compassion,46
करोति,karoti,does,46
करोमि,karomi,I do,46
करोसि,karosi,you do,46
करौ,karau,hands mainly lower arms,46
ककंटि,karkaTi,cucumber,46
ककरोगः,karkarogaH, cancer,46
कणं,karNa,ear or  also KarNa from Mahabharata,46
कणं,karNaM,Karna,46
कणः,karNaH,Karna,46
कणंपिडासन,karNapiDaasana,the ear-press posture,46
कर्णिकार,karNikaara,Himalayan tree,46
कर्णेभिः,karNebhiH,through the ears,46
कर्तयति,kartayati,to cut,46
कतरी,kartarii,scissors,46
कतव्य,kartavya,should be done,46
कतंव्यं,kartavyaM,prescribed duty,46
कतंव्यानि,kartavyaani,should be done as duty,46
कतां,kartaa,doer also attributed to main person in a household,46
कर्ताऽसि,kartaa.asi,are the doer,47
कतार,kartaaraM,the father,47
कतुं,kartuM,to perform,47
कर्तुमहैसि,kartumarhasi,to do deserve or  You are entitled or you should,47
कतंत्वं,kartRitvaM,proprietorship,47
कतंत्वे,kartRitve,in the matter of creation,47
कपुर,karpura,camphor,47
कमं,karma,Action or activity,47
कमभाव,karmabhaava,The 10th house of Careers and Work,47
कर्मजं,karmajaM,due to fruitive activities,47
कमजा,karmajaa,from fruitive work,47
कर्मजान्‌,karmajaan.h,born of work,47
कर्मणः,karmaNaH,than fruitive action,47
कर्मणा,karmaNaa,by work,47
कमणां,karmaNaaM,of prescribed duties,47
कमणि,karmaNi,in action,47
कमेन्‌,karman.h,work,47
कर्मफल,karmaphala,the result of an action,47
कर्मफलं,karmaphalaM,the results of all activities,47
कमफलत्यागःः,karmaphalatyaagaH,renunciation of the results of fruitive action,47
कमफलासङ्ख,karmaphalaasa.ngaM,attachment for fruitive results,47
कर्मफले,karmaphale,in fruitive action,47
कमंबन्धं,karmabandhaM,bondage of reaction,47
कमंबन्धनः,karmabandhanaH,bondage by work,47
कमेभिः,karmabhiH,from the bondage of the law of fruitive actions,47
कर्मयोग,karmayoga,unselfish actions,47
कमेयोगं,karmayogaM,devotion,47
कर्मयोगः,karmayogaH,work in devotion,47
कर्मयोगेण,karmayogeNa,by the linking process of devotion,47
कम॑सङ्किनां,karmasa.nginaaM,who are attached to fruitive work,47
कमंसङ्किषु,karmasa.ngishhu,in the association of those engaged in fruitive activities,47
कम॑सङ्खन,karmasa.ngena,by association with fruitive activity,47
कर्मसु,karmasu,in all activities,47
कमाणं,karmaaNaM,the fruits of actions,47
क्मांणां,karmaaNaaM,whose work,47
कर्मिभ्यः,karmibhyaH,than the fruitive workers,47
कर्मेन्द्रिय,karmendriya,an action organ for example  the hands or feet,47
कर्मेन्द्रियाणि,karmendriyaaNi,the five working sense organs,47
कर्मेन्द्रियैः,karmendriyaiH,by the active sense organs,47
कषे,karshha,attracted or contacted,47
कर्षति,karshhati, to draw or to pull,48
कषंयन्तः,karshhayantaH,tormenting,48
कलकत्तानगरं,kalakattaanagaraM,Calcutta,48
कलकल,kalakala,a sort of sound imitation  like a river flow,48
कलत्रकारक,kalatrakaaraka,Significator of marriage partner which is Venus,48
कलयतां,kalayataaM,of subduers,48
कला,kalaa,Art,48
कलानाथ,kalaanaatha,moon  or lord of arts,48
कलायः,kalaayaH, groundnut,48
कलि,kali,Bud,48
कलियुग,kaliyuga,the current or pleasure-loving age,48
कलिलं,kalilaM,dense forest,48
कलुषः,kalushhaH,smeared or blot,48
कलेवर,kalevara, body,48
कलेवरं,kalevaraM,the body,48
कलौ,kalau,during the kali age,48
कल्पद्रूम,kalpadruma,kalpa-vRiksha  as the tree that will give you anything you can,48
कल्पतरु,kalpataru, The heavenly tree giving whatever one desires,48
कल्पते,kalpate,is considered eligible,48
कल्पवृक्षाणां,kalpavRikshaaNaaM,the kalpa imagined wish-yielding tree,48
कल्पक्षये,kalpakShaye,at the end of the millennium,48
कल्पादौ,kalpaadau,in the beginning of the millennium,48
कल्पित,kalpita,imagined,48
कल्मषः,kalmashhaH,all material contamination,48
कल्मषाः,kalmashhaaH,of sinful reactions,48
कल्याण,kalyaaNa,well being  of others,48
कल्याणं,kalyaaNaM, welfare,48
कल्याणकृत्‌,kalyaaNakRit.h,one who is engaged in auspicious activities,48
कवची,kavachii,with armor,48
कवयः,kavayaH,the intelligent,48
कवयित्री,kavayitrii,poetess,48
कवलीकृत,kavaliikRita,swallowed,48
कवि,kavi,poet,48
कविं,kaviM,the one who knows everything,48
कविः,kaviH,poet,48
कविता,kavitaa,poetry,48
कविताशाखां,kavitaashaakhaaM,the poetry-branch of a tree,48
कवीनां,kaviinaaM,of all great thinkers,48
कव्य,kavya,poetry,48
कशा,kashaa, a whip,48
कशेरुः,kasheruH,spine or spinal chord,48
कञ्चन,kashchana,cerain,48
कञ्चित्‌,kashchit.h,someone,49
कश्मलं,kashmalaM,dirtiness,49
कषाय,kashhaaya, astringent,49
कस्ते,kaste, who your,49
कस्मात्‌,kasmaat.h,why,49
कस्मै,kasmai,to Ka,49
कस्य,kasya,whose,49
कस्यचित्‌,kasyachit.h,anyone’s,49
कहलयोग,kahalayoga,Stubborness or  Lords of 4th and 9th houses should be in kendras from each other and the lord of lagna should be strongly disposed,49
कड्ालः,ka NkaalaH, skeleton,49
का,kaa,who,49
कापुरुष,kaapurushha,contemptible fellow,49
कां,kaaM,which,49
काक,kaaka,crow,49
काकासन,kaakaasana,the crow posture,49
काकिणी,kaakiNii,the goddess in anaahata chakra,49
काकुत्स्थं,kaakutsthaM,kAkutsthaH is another family name for rAma,49
काकुत्स्थः,kaakutsthaH,descendant of kakutstha,49
कागदम्‌,kaagadam.h,paper,49
काङ्क्षति,kaa.nkShati,desires,49
काङ्क्षन्तः,kaa.nkShantaH,desiring,49
काङ्िक्षतं,kaa.nkShitaM,is desired,49
काङ्क्ष,kaa.nkShe,do I desire,49
काञ्चन,kaaJNchana,gold,49
काञ्चनः,kaaJNchanaH,gold,49
काते,kaate,who your,49
कादंबरी,kaadaMbarii,name of a girl or title of a novel,49
कादम्बः,kaadambaH,duck,49
कानन,kaanana,forest,49
कान्तं,kaantaM,lovely  or glowing,49
कान्ता,kaantaa,wife,49
कान्ति,kaanti,splendour,49
काम,kaama,lust,49
कामं,kaamaM,desire,49
कामः,kaamaH,desire,49
कामकाम,kaamakaama,desirer of desires ,49
कामकामाः,kaamakaamaaH,desiring sense enjoyments,49
कामकामी,kaamakaamii,one who desires to fulfill desires,49
कामकारतः,kaamakaarataH,acting whimsically in lust,49
कामकारेण,kaamakaareNa,for enjoying the result of work,49
कामदाम्‌,kaamadaam.h, gives  or grants all desires,49
कामघुक्‌,kaamadhuk.h,kaamadhenu  the cow who can milk out anything you wish,50
कामधेनु,kaamadhenu,the heavenly cow,50
कामप्रि,kaamapri,son of kaamapra,50
कामभोगेषु,kaamabhogeshhu,to sense gratification,50
काममधीते,kaamamadhiite,desire or reads,50
कामये,kaamaye,desire or  wish for,50
कामरूपं,kaamaruupaM,in the form of lust,50
कामरूपेण,kaamaruupeNa,in the form of lust,50
कामविकारः,kaamavikaaraH,sensual or sexual attraction,50
कामहेतुकं,kaamahaitukaM,it is due to lust only,50
कामाः,kaamaaH,desires,50
कामात्‌,kaamaat.h,from desire,50
कामात्मानः,kaamaatmaanaH,desirous of sense gratification,50
कामान्‌,kaamaan.h,desiring,50
कामित,kaamita,something one has wished for,50
कामेप्सुना,kaamepsunaa,by one with desires for fruitive results,50
कामेभ्यः,kaamebhyaH,material sense gratification,50
कामेश्वर,kaameshvara,lord of desires,50
कामैः,kaamaiH,by desires,50
कामोपभोग,kaamopabhoga,sense gratification,50
काय,kaaya,body ,50
कायं,kaayaM,the body,50
काया,kaayaa,body,50
कायिका,kaayikaa,pertaining to the body,50
कायेन,kaayena,with the body,50
कारक,kaaraka,Planetary Significator which remain the same for all houses,50
कारकैः,kaarakaiH,which are causes,50
कारणं,kaaraNaM,the means,50
कारणानि,kaaraNaani,causes,50
कारयन्‌,kaarayan.h,causing to be done,50
कारागृहम्‌,kaaraagRiham.h, prison or  jail,50
कारि,kaari,causing,50
कारुण्यरूपं,kaaruNyaruupaM,the personification of compassion,50
कातिकेय,kaartikeya,the god of war or was reared by the Pleiades,50
कापेण्य,kaarpaNya,of miserliness,50
कापण्यवादी,kaarpaNyavaadii,wrechedness incarnate,50
कायं,kaarya,work,50
कायं,kaaryaM,work,50
कायंकतां,kaaryakartaa,worker or active participant in an organisation,50
कार्यते,kaaryate,is forced to do,50
कायालयः,kaaryaalayaH,office or  place of work,51
काल,kaala,Time,51
कालं,kaalaM,time,51
कालः,kaalaH,Master Time,51
कालत्रय,kaalatraya,three states of time present  past and future,51
कालपुरुष,kaalapurushha,Universal Prototypal Human or Spirit of Time,51
कालबल,kaalabala,Temporal strength of planets used in Shad bala,51
कालबाह्यम्‌,kaalabaahyam.h,outdated or obsolete,51
कालभैरवासन,kaalabhairavaasana,Lord Kalabhairava’s posture,51
कालसपयोग,kaalasarpayoga,Planets on one side of the Nodal Axis of Rahu-Ketu,51
कालानल,kaalaanala,the fire of death,51
कालाय,kaalaaya,to the Lord of Time,51
कालीमातुः,kaaliimaatuH,Mother Kali’s,51
काले,kaale,time,51
कालेन,kaalena,in the course of time,51
कालेषु,kaaleshhu,times,51
काव्य,kaavya,poetry,51
काशते,kaashate, to shine,51
काशिराजः,kaashiraajaH,Kasiraja,51
काश्यः,kaashyaH,the King of Kasi or Varanasi,51
काष्ट,kaashhTa,wood or  branch,51
काष्ठ,kaashhTha, piece of wood,51
कासते,kaasate,to cough,51
कासारः,kaasaaraH,lake,51
कि,kiM,what,51
किङ्किणी,kinkiNii,ghungroo,51
किञ्चन,kiJNchana,any,51
किञ्चित्‌,kiJNchit.h,a few or  little,51
किन्तु,kintu,but,51
किमू,kimuu,how come ,51
किरण,kiraNa,ray,51
किरति,kirati,to scatter,51
किरीटिन्‌,kiriiTin.h,Arjuna,51
किरीटिनं,kiriiTinaM,with helmets,51
किल्बिशं,kilbishaM,sinful reactions,51
किल्बिषः,kilbishhaH,all of whose sins,51
किशोर,kishora,son,51
किशोरी,kishorii,daughter,51
किसलय,kisalaya,A sprout or a young and tender shoot or foliage,51
कीदशी,kiidRishii,how,51
कतं,kiirt.h,to tell,52
कति,kiirtiM,reputation,52
कर्तः,kiirtiH,fame,52
कीर्तीं,kiirtii,fame,52
कुपरीक्षक,kupariikShaka,one who cannot judge value correctly,52
कुजरः,ku.njaraH,elephant,52
कुकुटासन,kukuTaasana,the cockerel  or rooster posture,52
कुक्कुट,kukkuTa,rooster,52
कुक्कुटः,kukkuTaH,cock,52
कुक्कुटी,kukkuTii,hen,52
कुक्कुरः,kukkuraH, dog,52
कुज,kuja,Mars,52
कुजदोष,kujadoshha,Affliction caused by Mars occupying the 2nd  4th 7th  8th or 12th,52
कुटी,kuTii,a small hut,52
कुटीचक,kuTiichaka,the hut-builder,52
कुटील्बुद्धी,kuTiilbuddhii, heinous or attrocious or nefarious,52
कटबक,kuTuMbakaM,small family,52
कुटुम्ब,kuTumba,family,52
कुटुम्बक,kuTumbaka,family,52
कुण्ड,kuNDa,starting place of kundalini,52
कुण्डल,kuNDala,coil of rope or ring,52
कुण्डलि,kuNDali,The Wheel or Horoscope Chart,52
कुण्डलिनी,kuNDalinii,a coiled female snake or the latent energy at the base of the spine,52
कुतः,kutaH,from where,52
कुत्र,kutra,where,52
कुन्चिका,kunchikaa,key,52
कृन्तः,kuntaH, spear,52
कुन्तिभोजः,kuntibhojaH,Kuntibhoja,52
कुन्तीपुत्रः,kuntiiputraH,the son of Kunti,52
कुन्द,kunda,night lily,52
कुपित,kupita,angered,52
कुपितं,kupitaM,angry,52
कुप्यति,kupyati,to be angry,52
कुप्यसि,kupyasi,you get angry,52
कुमार,kumaara, boy or  young,52
कुमारः,kumaaraH,boy,52
कुमारिका,kumaarikaa,girl,52
कुमारी,kumaarii,girl or young,53
कुम्भ,kumbha,The Zodiacal sign of Aquarius,53
कुम्भक,kumbhaka,holding the breath,53
कुरु,kuru,do,53
कुरूते,kurute,does ,53
कुरुनन्दन,kurunandana,O beloved child of the Kurus,53
कुरुप्रवीर,kurupraviira,O best among the Kuru warriors,53
कुरुश्रेष्ठ,kurushreshhTha,O best of the Kurus,53
कुरुष्व,kurushhva,do,53
कुरुसत्तम,kurusattama,O best amongst the Kurus,53
कुरुक्षेत्रे,kurukShetre,in the place named Kuruksetra,53
कुरून्‌,kuruun.h,the members of the Kuru dynasty,53
कुमं,kurma,"a tortoise, one of the vital airs - controls blinking",53
कुमांसन,kurmaasana,the tortoise  posture,53
कुयां,kuryaaM,I perform,53
कुर्यात्‌,kuryaat.h,must do,53
कुवंति,kurva.nti,do or act,53
कुर्वन्‌,kurvan.h,doing anything,53
कुवन्ति,kurvanti,do ,53
कुर्वन्तु,kurvantu,may do,53
कुवंन्नपि,kurvannapi,although engaged in work,53
कुवंवधानं,kurvavadhaanaM,pay attention,53
कुवांण,kurvaaNa,one who does,53
कुवान्‌,kurvaan.h,doing,53
कुल,kula,family or dynasty,53
कुलं,kulaM,family,53
कुलगुरुः,kulaguruH,chancellor,53
कुलघ्नानां,kulaghnaanaaM,for those who are killers of the family,53
कुलजना,kulajanaa,of noble people,53
कुलधमाः,kuladharmaaH,the family traditions,53
कुलधर्माणां,kuladharmaaNaaM,of those who have the family traditions,53
कुलनाम,kulanaama,last name or surname,53
कुलनिहंतारौ,kulaniha.ntaarau,family destroyers ,53
कुलस्त्रियः,kulastriyaH,family ladies,53
कुलस्य,kulasya,for the family,53
कुलक्षय,kulakShaya,in the destruction of a dynasty,53
कुलक्षये,kulakShaye,in destroying the family,53
कुलानि,kulaani,lineages,53
कुलालः,kulaalaH, potter,53
कुलीन,kuliina,from a good family,54
कुलीरः,kuliiraH,a crab,54
कुले,kule,in the family,54
कुल्या,kulyaa,canal  or carrying water for irrigation,54
कुशा,kusha,and kusa grass,54
कुशलं,kushalaM,welfare,54
कुशले,kushale,in the auspicious,54
कुशहस्त,kushahasta,holding kusha grass in hand,54
कुसुम,kusuma,flower,54
कुसुमाकरः,kusumaakaraH,spring,54
कुसुमित,kusumita,blooming,54
कुस्यति,kusyati,to embrace or to hug,54
कूजत्‌,kuujat.h,the singing or chirping one,54
कूटनीतिः,kuuTaniitiH, strategy,54
कूटस्थं,kuuTasthaM,unchanging,54
कूटस्थः,kuuTasthaH,spiritually situated,54
कूपः,kuupaH, well,54
कूपी,kuupii,bottle,54
कूर्चिका,kuurchikaa,paint brush or drawing brush,54
कूप॑रः,kuurparaH,elbow,54
कूर्मः,kuurmaH,tortoise,54
कु,kRi,to do,54
कृच्छर,kRichchhara,difficult,54
कृडति,kRiDati, to play,54
कृण्वंतः,kRiNva.ntaH,that person who is doing,54
कृत्‌,kRit.h,the man who did the destruction of raakshasa kula,54
कृत॒,kRita,Done,54
कृतं,kRitaM,done,54
कृतकृत्यः,kRitakRityaH,the most perfect in his endeavours,54
कृतधियां,kRitadhiyaaM,of sanes or stable-minded,54
कृतज्ञ,kRitaGYa,Grateful,54
कृतज्ञता,kRitaGYataa,gratitude,54
कृताञ्जलिः,kRitaaJNjaliH,with folded hands,54
कृतान्ते,kRitaante,in the conclusion,54
